PREFERENCE,PROPERTY_TYPE,BEDROOM_NUM,BATHROOM_NUM,BALCONY_NUM,PRICE_PER_UNIT_AREA,FURNISH,AGE,FLOOR_NUM,TOTAL_FLOOR,SUPERBUILTUP_SQFT,PRICE,LOCALITY_WO_CITY,stories
S,Residential Apartment,4.0,5.0,3.0,22950.0,Semi-furnished,1-5,12.0,40.0,3300.0,5.15,Sector 72,single
S,Residential Apartment,3.0,2.0,3.0,4671.0,Furnished,1-5,4.0,14.0,1370.0,0.64,Sector 92,single
S,Residential Apartment,2.0,2.0,3.0,3863.0,Unfurnished,1-5,2.0,15.0,1320.0,0.51,Sector 92,single
S,Independent/Builder Floor,3.0,3.0,3.0,10303.0,Semi-furnished,0-1,1.0,3.0,1650.0,1.7,Sector 70A,single
S,Residential Apartment,5.0,5.0,4.0,8891.0,Semi-furnished,1-5,6.0,15.0,3880.0,3.45,Sector 110,single
S,Independent/Builder Floor,3.0,3.0,2.0,9565.217391304348,Unfurnished,1-5,2.0,4.0,2070.0,1.98,Malibu Town,single
S,Independent/Builder Floor,4.0,4.0,2.0,8641.975308641975,Semi-furnished,1-5,4.0,4.0,3240.0,2.8,Palam Vihar,single
S,Residential Apartment,2.0,2.0,3.0,20520.0,Semi-furnished,1-5,14.0,51.0,1470.0,2.05,Sector 67,single
R,Residential Apartment,2.0,2.0,4.0,27000.0,Semi-furnished,0-1,8.0,26.0,1368.0,3.6936,Sector 102,single
S,Residential Apartment,2.0,2.0,3.0,10229.0,Semi-furnished,0-1,9.0,26.0,1349.0,1.38,Sector 102,single
R,Residential Apartment,3.0,4.0,3.0,30000.0,Semi-furnished,1-5,12.0,24.0,1889.0,5.667,Sector 102,single
R,Residential Apartment,3.0,4.0,3.0,29000.0,Semi-furnished,1-5,15.0,24.0,1889.0,5.4781,Sector 102,single
S,Independent/Builder Floor,3.0,3.0,2.0,15294.0,Semi-furnished,0-1,1.0,4.0,1700.0,2.6,Nirvana Country,single
S,Independent/Builder Floor,3.0,3.0,2.0,10937.0,Semi-furnished,0-1,1.0,4.0,1600.0,1.75,South City 2,single
R,Independent/Builder Floor,2.0,2.0,3.0,30000.0,Semi-furnished,1-5,2.0,3.0,1200.0,3.6,Sushant Lok Phase 1,single
S,Residential Apartment,2.0,2.0,2.0,12539.0,Semi-furnished,1-5,2.0,13.0,1276.0,1.6,Sector 113 Gurgaon,single
S,Independent/Builder Floor,4.0,4.0,3.0,10389.0,Semi-furnished,0-1,2.0,4.0,3465.0,3.6,Sector 49,single
S,Independent/Builder Floor,3.0,3.0,2.0,9595.0,Semi-furnished,0-1,1.0,4.0,1980.0,1.9,Sector 50,single
S,Independent/Builder Floor,4.0,4.0,3.0,14285.0,Semi-furnished,0-1,3.0,4.0,1680.0,2.4,Uppals Southend,single
S,Independent/Builder Floor,4.0,4.0,3.0,15123.0,Semi-furnished,0-1,1.0,4.0,1620.0,2.45,Uppals Southend,single
S,Independent/Builder Floor,3.0,3.0,2.0,9722.0,Semi-furnished,0-1,2.0,4.0,1800.0,1.75,Sector 54,single
S,Independent/Builder Floor,3.0,3.0,2.0,9090.0,Semi-furnished,0-1,2.0,4.0,2200.0,2.0,Sector 56,single
S,Independent/Builder Floor,3.0,3.0,2.0,10833.0,Semi-furnished,0-1,2.0,4.0,1800.0,1.95,Sector 42,single
S,Independent/Builder Floor,3.0,3.0,2.0,10000.0,Semi-furnished,0-1,2.0,4.0,1800.0,1.8,Sector 57,single
S,Independent/Builder Floor,3.0,3.0,2.0,10000.0,Semi-furnished,0-1,1.0,4.0,2250.0,2.25,Sector 43,single
S,Independent/Builder Floor,3.0,3.0,2.0,9953.703703703704,Semi-furnished,0-1,1.0,4.0,2160.0,2.15,Sushant Lok Phase 1,single
R,Residential Apartment,2.0,2.0,2.0,15000.0,Semi-furnished,0-1,3.0,23.0,644.0,0.966,Sector 37D,single
S,Independent/Builder Floor,3.0,3.0,3.0,14354.0,Semi-furnished,Under Construction,2.0,4.0,1470.0,2.11,Sector 63A,single
S,Residential Apartment,2.0,2.0,2.0,11686.0,Semi-furnished,Under Construction,9.0,26.0,1198.0,1.4,Sector 102,single
S,Residential Apartment,2.0,2.0,1.0,10152.0,Semi-furnished,0-1,4.0,14.0,591.0,0.6,Sector 67A,single
S,Residential Apartment,3.0,3.0,4.0,12121.0,Semi-furnished,Under Construction,18.0,36.0,1650.0,2.0,Sector 113 Gurgaon,single
S,Independent/Builder Floor,4.0,4.0,4.0,13666.0,Semi-furnished,0-1,2.0,4.0,3000.0,4.1,Nirvana Country,single
S,Independent/Builder Floor,3.0,3.0,2.0,10000.0,Semi-furnished,0-1,1.0,4.0,2250.0,1.8,Sector 67,single
