,LATITUDE,LONGITUDE
5713, '28.454279', '77.085314'
5714, '28.489563', '77.087681'
5715, '28.489563', '77.087681'
5716, '28.416575', '77.025941'
5717, '28.416575', '77.025941'
5718, '28.416575', '77.025941'
5719, '28.416575', '77.025941'
5720, '28.472761', '77.085959'
5721, '28.489563', '77.087681'
5722, '28.489563', '77.087681'
5723, '28.48970801', '77.08382649'
5724, '28.393486', '77.018605'
5725, '28.410307', '76.962527'
5726, '28.390872', '76.95272'
5727, '28.4085579', '76.951783'
5728, '28.4085579', '76.951783'
5729, '28.409748', '76.953903'
5730, '28.410307', '76.962527'
5731, '28.4085579', '76.951783'
5732, '28.409208', '76.925732'
5733, '28.409208', '76.925732'
5734, '28.409208', '76.925732'
5735, '28.39332', '76.945729'
5736, '28.39332', '76.945729'
5737, '28.406885', '76.930127'
5738, '28.48379', '76.00055'
5739, '28.4085579', '76.951783'
5740, '28.409208', '76.925732'
5741, '28.39332', '76.945729'
5742, '28.410307', '76.962527'
5743, '28.410307', '76.962527'
5744, '28.4085579', '76.951783'
5745, '28.409208', '76.925732'
5746, '28.39332', '76.945729'
5747, '28.406885', '76.930127'
5748, '28.39181', '76.949669'
5749, '28.39332', '76.945729'
5750, '28.410307', '76.962527'
5751, '28.390872', '76.95272'
5752, '28.409748', '76.953903'
5753, '28.410307', '76.962527'
5754, '28.4085579', '76.951783'
5755, '28.409143', '76.914457'
5756, '28.406885', '76.930127'
5757, '28.499693', '76.999962'
5758, '28.409748', '76.953903'
5759, '28.409748', '76.953903'
5760, '28.48379', '76.00055'
5761, '28.39332', '76.945729'
5762, '28.39332', '76.945729'
5763, '28.4085579', '76.951783'
5764, '28.4085579', '76.951783'
5765, '28.4085579', '76.951783'
5766, '28.4085579', '76.951783'
5767, '28.410307', '76.962527'
5768, '28.409668', '76.961532'
5769, '28.356562', '76.973291'
5770, '28.356562', '76.973291'
5771, '28.405628', '76.926043'
5772, '28.39332', '76.945729'
5773, '28.397175', '76.935532'
5774, '28.409208', '76.925732'
5775, '28.409208', '76.925732'
5776, '28.409208', '76.925732'
5777, '28.4085579', '76.951783'
5778, '28.410307', '76.962527'
5779, '28.39181', '76.949669'
5780, '28.409208', '76.925732'
5781, '28.406885', '76.930127'
5782, '28.4085579', '76.951783'
5783, '28.39181', '76.949669'
5784, '28.4746969', '76.9686267'
5785, '28.356562', '76.973291'
5786, '28.518677', '77.015115'
5787, '28.482289', '76.991786'
5788, '28.482289', '76.991786'
5789, '28.482289', '76.991786'
5790, '28.509518516781', '76.988676053722'
5791, '28.46252', '76.951718'
5792, '28.39332', '76.945729'
5793, '28.39332', '76.945729'
5794, '28.472761', '77.085959'
5795, '28.452895', '77.095738'
5796, '28.443185', '77.108897'
5797, '28.482618', '76.974365'
5798, '28.499023', '76.983105'
5799, '28.499693', '76.999962'
5800, '28.4085579', '76.951783'
5801, '28.395681', '77.029439'
5802, '28.402309427353', '77.036047802092'
5803, '28.4085579', '76.951783'
5804, '28.48379', '76.00055'
5805, '28.458598', '77.108078'
5806, '28.417025', '76.909653'
5807, '28.417025', '76.909653'
5808, '28.397175', '76.935532'
5809, '28.410307', '76.962527'
5810, '28.410307', '76.962527'
5811, '28.39332', '76.945729'
5812, '28.410307', '76.962527'
5813, '28.45135', '76.9888'
5814, '28.45135', '76.9888'
5815, '28.45135', '76.9888'
5816, '28.449911', '76.98362'
5817, '28.449277', '77.041077'
5818, '28.45135', '76.9888'
5819, '28.45135', '76.9888'
5820, '28.45135', '76.9888'
5821, '28.45135', '76.9888'
5822, '28.45135', '76.9888'
5823, '28.45135', '76.9888'
5824, '28.45135', '76.9888'
5825, '28.45135', '76.9888'
5826, '28.45135', '76.9888'
5827, '28.45135', '76.9888'
5828, '28.45135', '76.9888'
5829, '28.45135', '76.9888'
5830, '28.45135', '76.9888'
5831, '28.45135', '76.9888'
5832, '28.45135', '76.9888'
5833, '28.45135', '76.9888'
5834, '28.508602', '77.002116'
5835, '28.3855771', '76.9759917'
5836, '28.401406', '77.050549'
5837, '28.391640123846', '77.065127854166'
5838, '28.3827247', '77.0170901'
5839, '28.389679', '77.059355'
5840, '28.40185', '77.061015'
5841, '28.440761', '76.972101'
5842, '28.409463', '77.108186'
5843, '28.40356', '77.085012'
5844, '28.4383596', '77.1062709'
5845, '28.493729', '77.106531'
5846, '28.44684967862', '77.10207066169'
5847, '28.451507', '77.09427'
5848, '28.452895', '77.095738'
5849, '28.465281', '77.082392'
5850, '28.44029', '77.10939'
5851, '28.3839966', '77.0153032'
5852, '28.3839966', '77.0153032'
5853, '28.356562', '76.973291'
5854, '28.3889069', '76.9513279'
5855, '28.3889069', '76.9513279'
5856, '28.464776', '77.100449'
5857, '28.356562', '76.973291'
5858, '28.3889069', '76.9513279'
5859, '28.3889069', '76.9513279'
5860, '28.356562', '76.973291'
5861, '28.356562', '76.973291'
5862, '28.356562', '76.973291'
5863, '28.356562', '76.973291'
5864, '28.3889069', '76.9513279'
5865, '28.3889069', '76.9513279'
5866, '28.356562', '76.973291'
5867, '28.356562', '76.973291'
5868, '28.356562', '76.973291'
5869, '28.3889069', '76.9513279'
5870, '28.3889069', '76.9513279'
5871, '28.3889069', '76.9513279'
5872, '28.356562', '76.973291'
5873, '28.3889069', '76.9513279'
5874, '28.356562', '76.973291'
5875, '28.356562', '76.973291'
5876, '28.3889069', '76.9513279'
5877, '28.3889069', '76.9513279'
5878, '28.3889069', '76.9513279'
5879, '28.3892271', '77.0607964'
5880, '28.4050245', '77.0454925'
5881, '28.3827247', '77.0170901'
5882, '28.445927', '77.099865'
5883, '28.4081658', '76.9628658'
5884, '28.39332', '76.945729'
5885, '28.40356', '77.085012'
5886, '28.411794', '77.06903'
5887, '28.411794', '77.06903'
5888, '28.411794', '77.06903'
5889, '28.445927', '77.099865'
5890, '28.4741603', '77.0075055'
5891, '28.3889069', '76.9513279'
5892, '28.4065341', '76.9627918'
5893, '28.392063', '76.957229'
5894, '28.395494', '76.9756004'
5895, '28.390872', '76.95272'
5896, '28.385415', '77.04925'
5897, '28.399611581537', '76.975736174694'
5898, '28.46252', '76.951718'
5899, '28.393622', '77.035359'
5900, '28.393622', '77.035359'
5901, '28.4754909', '77.1032095'
5902, '28.4754909', '77.1032095'
5903, '28.377498', '77.042358'
5904, '28.4065341', '76.9627918'
5905, '28.408196', '76.930093'
5906, '28.410307', '76.962527'
5907, '28.408225', '76.962987'
5908, '28.4153994', '77.037736'
5909, '28.4153994', '77.037736'
5910, '28.4621304', '77.0017465'
5911, '28.468927', '76.997421'
5912, '28.518677', '77.015115'
5913, '28.518677', '77.015115'
5914, '28.518677', '77.015115'
5915, '28.518677', '77.015115'
5916, '28.518677', '77.015115'
5917, '28.518677', '77.015115'
5918, '28.4891378', '76.9844677'
5919, '28.488289', '76.985599'
5920, '28.409324', '77.045716'
5921, '28.4345552', '77.0578855'
5922, '28.4234414', '77.0765927'
5923, '28.4746969', '76.9686267'
5924, '28.408196', '76.930093'
5925, '28.3990776', '77.1020169'
5926, '28.4746969', '76.9686267'
5927, '28.4439713', '77.1111214'
5928, '28.4754909', '77.1032095'
5929, '28.4234414', '77.0765927'
5930, '28.45382', '77.09956'
5931, '28.4754909', '77.1032095'
5932, '28.4594965', '77.02663830000006'
5933, '28.458598', '77.108078'
5934, '28.5129305', '77.037736'
5935, '28.444951', '77.111544'
5936, '28.4754909', '77.1032095'
5937, '28.45382', '77.09956'
5938, '28.50259', '77.100084'
5939, '28.50259', '77.100084'
5940, '28.3971448', '77.0866646'
5941, '28.45382', '77.09956'
5942, '28.384036', '77.021938'
5943, '28.384036', '77.021938'
5944, '28.40622', '77.042469'
5945, '28.38922', '77.0551'
5946, '28.42348', '77.08451'
5947, '28.4234414', '77.0765927'
5948, '28.4234414', '77.0765927'
5949, '28.4234414', '77.0765927'
5950, '28.39988', '77.09654'
5951, '28.39988', '77.09654'
5952, '28.392138', '77.033757'
5953, '28.429253', '77.029756'
5954, '28.408549', '77.042348'
5955, '28.41461', '77.06013'
5956, '28.412465', '77.045831'
5957, '28.4085579', '76.951783'
5958, '28.4085579', '76.951783'
5959, '28.408214', '77.060398'
5960, '28.406155', '76.921314'
5961, '28.416629', '77.038982'
5962, '28.407289', '77.069686'
5963, '28.406155', '76.921314'
5964, '28.3568642', '76.9729701'
5965, '28.3885295', '76.9414589'
5966, '28.39358', '76.99603'
5967, '28.4741603', '77.0075055'
5968, '28.456073', '76.949659'
5969, '28.468492', '76.969007'
5970, '28.378112', '77.056045'
5971, '28.3885295', '76.9414589'
5972, '28.3885295', '76.9414589'
5973, '28.4754909', '77.1032095'
5974, '28.39358', '76.99603'
5975, '28.42213', '76.94414'
5976, '28.410625', '77.021544'
5977, '28.456073', '76.949659'
5978, '28.39358', '76.99603'
5979, '28.3928065', '76.9895097'
5980, '28.393559', '77.096839'
5981, '28.395681', '77.029439'
5982, '28.3885295', '76.9414589'
5983, '28.392264', '76.997091'
5984, '28.39358', '76.99603'
5985, '28.472552', '76.9655'
5986, '28.514725', '76.973355'
5987, '28.397175', '76.935532'
5988, '28.399772', '76.968991'
5989, '28.386254', '76.966492'
5990, '28.386254', '76.966492'
5991, '28.390099', '76.96029'
5992, '28.446282', '76.954775'
5993, '28.390323', '76.962064'
5994, '28.481127', '76.973756'
5995, '28.413458', '76.912963'
5996, '28.413458', '76.912963'
5997, '28.396246', '76.956102'
5998, '28.4795247', '76.9688517'
5999, '28.491169', '77.091415'
6000, '28.392063', '76.957229'
6001, '28.5129305', '77.037736'
6002, '28.443185', '77.108897'
6003, '28.420544', '77.092353'
6004, '28.411794', '77.06903'
6005, '28.3971448', '77.0866646'
6006, '28.39661', '76.97283'
6007, '28.401137', '77.064929'
6008, '28.4736102', '77.0463719'
6009, '28.416234', '77.042805'
6010, '28.399273', '77.070425'
6011, '28.39661', '76.97283'
6012, '28.39661', '76.97283'
6013, '28.478236', '77.105306'
6014, '28.4143242', '76.9081238'
6015, '28.4680842156134', '77.01014'
6016, '28.39988', '77.09654'
6017, '28.416629', '77.038982'
6018, '28.428798', '77.029648'
6019, '28.407854', '76.9153281'
6020, '28.4791609', '77.0593246'
6021, '28.39661', '76.97283'
6022, '28.463784', '77.062503'
6023, '28.39661', '76.97283'
6024, '28.4093404', '76.956789'
6025, '28.40622', '77.042469'
6026, '28.390392', '76.96934'
6027, '28.4367302', '77.1366519'
6028, '28.459821', '77.04516'
6029, '28.4754909', '77.1032095'
6030, '28.39661', '76.97283'
6031, '28.478537', '77.059947'
6032, '28.4791609', '77.0593246'
6033, '28.39661', '76.97283'
6034, '28.39661', '76.97283'
6035, '28.433339', '77.105472'
6036, '28.4791609', '77.0593246'
6037, '28.4736102', '77.0463719'
6038, '28.4791609', '77.0593246'
6039, '28.480624', '77.066135'
6040, '28.38922', '77.0551'
6041, '28.400942', '77.090429'
6042, '28.409748', '76.953903'
6043, '28.413548', '76.903953'
6044, '28.512097', '77.064145'
6045, '28.532594', '77.020297'
6046, '28.513142', '77.025951'
6047, '28.513142', '77.025951'
6048, '28.413115', '77.057045'
6049, '28.413115', '77.057045'
6050, '28.452147', '77.081555'
6051, '28.39988', '77.09654'
6052, '28.38452', '77.022621'
6053, '28.454814', '77.082577'
6054, '28.498792', '77.022719'
6055, '28.446282', '76.954775'
6056, '28.498792', '77.022719'
6057, '28.498792', '77.022719'
6058, '28.498792', '77.022719'
6059, '28.511407', '77.041968'
6060, '28.511407', '77.041968'
6061, '28.396445', '77.036807'
6062, '28.413115', '77.057045'
6063, '28.498792', '77.022719'
6064, '28.498792', '77.022719'
6065, '28.498792', '77.022719'
6066, '28.464937', '77.080879'
6067, '28.3820629', '77.060849'
6068, '28.413115', '77.057045'
6069, '28.413115', '77.057045'
6070, '28.388726', '76.967902'
6071, '28.4056704', '77.070837'
6072, '28.4029348', '77.0653587'
6073, '28.40185', '77.061015'
6074, '28.4056704', '77.070837'
6075, '28.445927', '77.099865'
6076, '28.452895', '77.095738'
6077, '28.4015851', '77.0497516'
6078, '28.443185', '77.108897'
6079, '28.428074', '77.0650809'
6080, '28.4188884', '77.0920355'
6081, '28.514331', '77.004551'
6082, '28.3935416', '76.9599852'
6083, '28.42775', '77.05034'
6084, '28.452147', '77.081555'
6085, '28.39988', '77.09654'
6086, '28.41474', '77.09192'
6087, '28.410307', '76.962527'
6088, '28.5268936', '77.0190228'
6089, '28.498792', '77.022719'
6090, '28.4572434', '77.0782527'
6091, '28.39592', '76.97508'
6092, '28.498792', '77.022719'
6093, '28.42348', '77.08451'
6094, '28.5129305', '77.037736'
