,BEDROOM_NUM,BATHROOM_NUM,BALCONY_NUM,PRICE_PER_UNIT_AREA,AGE,SUPERBUILTUP_SQFT,PRICE,LOCALITY_WO_CITY,total_facilities,furnishing_type
101,4.0,4.0,2.0,10216.0,5-10,1762.0,2.38,DLF Phase 2,3,0
102,2.0,2.0,2.0,14166.0,1-5,1200.0,1.7,Sector 66,2,0
103,3.0,3.0,2.0,15000.0,1-5,2200.0,3.3,Sector 66,6,0
104,3.0,3.0,2.0,16410.0,1-5,1950.0,3.2,Sector 66,6,0
105,3.0,3.0,1.0,16121.0,1-5,2047.0,3.3,Sector 67,4,0
106,3.0,3.0,3.0,10138.0,Under Construction,1440.0,1.46,Sector 37D,4,0
107,3.0,3.0,2.0,8000.0,5-10,1750.0,1.4,Malibu Town,2,1
108,2.0,2.0,2.0,14789.0,1-5,1188.0,1.76,Sector 66,2,1
109,3.0,2.0,3.0,16000.0,0-1,1483.0,2.0,Sector 68,5,0
110,3.0,2.0,2.0,11304.0,10+,1150.0,1.3,Sector 50,3,1
111,3.0,3.0,2.0,5684.0,5-10,1935.0,1.1,Uppals Southend,2,0
112,3.0,3.0,4.0,12805.0,Under Construction,2538.0,3.25,Sector 36A,6,1
113,3.0,3.0,3.0,22180.0,1-5,2908.0,6.45,Sector 65,5,0
114,3.0,3.0,4.0,13884.0,5-10,1815.0,2.52,Sector 66,3,0
115,3.0,3.0,2.0,13506.0,Under Construction,1932.0,2.61,Sector 65,5,0
116,2.0,2.0,2.0,13500.0,Under Construction,1420.0,1.92,Sector 65,5,1
117,2.0,2.0,2.0,13500.0,Under Construction,1420.0,1.92,Sector 65,5,0
118,2.0,2.0,2.0,13623.0,Under Construction,1433.0,1.93,Sector 65,5,1
119,2.0,2.0,2.0,13623.0,Under Construction,1433.0,1.93,Sector 65,5,0
120,2.0,2.0,2.0,14114.0,Under Construction,1516.0,2.05,Sector 65,5,0
121,2.0,2.0,2.0,13542.0,Under Construction,1265.0,1.71,Sector 65,5,0
122,2.0,2.0,2.0,13500.0,Under Construction,1265.0,1.71,Sector 65,5,0
123,4.0,4.0,3.0,9791.0,1-5,2400.0,2.35,Sector 110 A,3,1
124,2.0,2.0,3.0,5600.0,0-1,1000.0,0.56,Sector 37C,2,0
125,3.0,4.0,3.0,10163.0,5-10,1525.0,1.55,Sector 51,5,0
126,4.0,4.0,4.0,26328.0,Under Construction,2089.0,5.5,Sector 63,6,0
127,4.0,4.0,4.0,26280.0,Under Construction,1484.0,3.9,Sector 63,6,0
128,4.0,4.0,4.0,26319.0,Under Construction,1421.0,3.74,Sector 63,6,0
129,4.0,4.0,4.0,28383.0,Under Construction,1367.0,3.88,Sector 63,6,0
130,4.0,5.0,4.0,18181.81818181818,1-5,2475.0,4.5,Sector 81,5,1
131,3.0,4.0,3.0,16363.0,5-10,2200.0,3.6,Sector 66,6,0
132,4.0,4.0,3.0,10285.0,0-1,3150.0,3.24,Sector 50,3,1
133,4.0,6.0,4.0,17023.0,5-10,2943.0,5.01,Sector 31,3,0
134,3.0,3.0,2.0,8865.0,0-1,2459.0,2.18,Palam Vihar,2,1
135,5.0,5.0,3.0,11082.0,0-1,3880.0,4.3,Sector 110,6,0
136,3.0,3.0,2.0,14400.0,0-1,1836.0,1.8,Sector 23,2,1
137,3.0,3.0,2.0,13875.0,0-1,1254.0,1.74,Sector 23,2,1
138,3.0,3.0,2.0,13840.0,0-1,1836.0,1.73,Sector 23,2,1
139,4.0,4.0,2.0,12800.0,0-1,2500.0,3.2,Sector 50,3,1
141,3.0,3.0,2.0,8336.0,0-1,2459.0,2.05,Palam Vihar,2,1
142,3.0,3.0,2.0,7959.0,0-1,2450.0,1.95,Palam Vihar,2,1
143,3.0,4.0,4.0,7559.774964838256,10+,2844.0,2.15,DLF Phase 2,3,1
144,1.0,1.0,2.0,30000.0,1-5,1000.0,3.0,Sector 46,2,1
145,3.0,3.0,3.0,7857.0,10+,2100.0,1.65,Sector 45,2,0
146,4.0,4.0,2.0,19772.0,0-1,2200.0,4.35,Sector 67A,5,0
147,3.0,3.0,3.0,8095.0,1-5,2100.0,1.7,Sector-33 Sohna,4,0
148,2.0,2.0,3.0,7017.0,1-5,1425.0,1.0,Sohna,2,1
