PREFERENCE,PROPERTY_TYPE,BEDROOM_NUM,BATHROOM_NUM,BALCONY_NUM,PRICE_PER_UNIT_AREA,FURNISH,AGE,FLOOR_NUM,SUPERBUILTUP_SQFT,PRICE,SOCIETY_NAME,LOCALITY_WO_CITY,FEATURES_LIST,stories,nearby_facilities
S,Residential Apartment,3.0,4.0,2.0,15158.0,Semi-furnished,1-5,5.0,2045.0,3.1,Ireo Skyon,Sector 60,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Bank Attached Property', 'Piped-gas', 'Near Bank', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Waste Disposal', 'Rain Water Harvesting', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",single,"['Park', 'School/College', 'Metro', 'Hospital', 'Airport']"
S,Independent House/Villa,3.0,3.0,3.0,9771.0,Semi-furnished,Under Construction,4.0,1535.0,1.5,,Sector 37D,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center']",multi,['Hospital']
S,Residential Apartment,2.0,2.0,2.0,16117.0,Semi-furnished,1-5,2.0,1365.0,2.2,Ireo Skyon,Sector 60,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",single,"['Park', 'School/College', 'Metro', 'Hospital', 'Airport']"
S,Independent/Builder Floor,3.0,3.0,3.0,10500.0,Furnished,Under Construction,15.0,1579.0,1.66,La Vida by Tata Housing,Sector 113 Gurgaon,"['Security / Fire Alarm', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Security Personnel', 'Waste Disposal', 'Rain Water Harvesting']",single,"['Railway', 'School/College', 'Metro', 'Hospital', 'Airport']"
S,Independent/Builder Floor,4.0,4.0,2.0,7959.714100064977,Semi-furnished,0-1,2.0,3078.0,2.45,,Sector 57,"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Water Storage', 'Visitor Parking']",single,"['Bank/ATM', 'Park', 'Hospital']"
S,Independent/Builder Floor,4.0,4.0,2.0,8122.157244964263,Semi-furnished,0-1,1.0,3078.0,2.5,,Sector 57,"['Lift(s)', 'Water Storage', 'Visitor Parking']",single,"['Bank/ATM', 'Park', 'Hospital']"
S,Independent/Builder Floor,4.0,4.0,2.0,10139.416983523448,Semi-furnished,0-1,1.0,2367.0,2.4,,Sector 57,"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Water Storage', 'Visitor Parking']",single,"['Bank/ATM', 'Park', 'Hospital']"
S,Independent/Builder Floor,3.0,3.0,2.0,10265.700483091789,Semi-furnished,0-1,4.0,1656.0,1.7,,Sector 57,"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Water Storage', 'Visitor Parking']",single,"['Bank/ATM', 'Park', 'Hospital']"
S,Independent/Builder Floor,3.0,3.0,2.0,10620.91503267974,Semi-furnished,0-1,4.0,1836.0,1.95,,Sector 57,"['Lift(s)', 'Water Storage', 'Park', 'Near Bank', 'Visitor Parking', 'Club house / Community Center']",single,"['Bank/ATM', 'Park', 'Hospital']"
S,Independent/Builder Floor,4.0,4.0,2.0,10721.247563352828,Semi-furnished,0-1,1.0,3078.0,3.3,Sector 57,Sector 57,"['Feng Shui / Vaastu Compliant', 'Water Storage', 'Visitor Parking', 'Club house / Community Center']",single,"['Bank/ATM', 'Park', 'Hospital']"
