,PREFERENCE,PROPERTY_TYPE,BEDROOM_NUM,BATHROOM_NUM,BALCONY_NUM,PRICE_PER_UNIT_AREA,FURNISH,AGE,FLOOR_NUM,TOTAL_FLOOR,SUPERBUILTUP_SQFT,PRICE,LOCALITY_WO_CITY,stories
9283,S,Independent House/Villa,4.0,4,4.0,6527.0,Semi-furnished,1-5,4.0,4.0,3600.0,2.35,Sector 57,multi
9284,S,Independent House/Villa,3.0,3,3.0,8431.0,Semi-furnished,1-5,3.0,3.0,2550.0,2.15,Sector 57,multi
9285,S,Independent/Builder Floor,9.0,9,4.0,7775.0,Furnished,1-5,5.0,5.0,2855.0,2.22,C Block Sushant Lok Phase 1,single
9286,S,Independent/Builder Floor,3.0,3,2.0,10852.0,Semi-furnished,0-1,3.0,4.0,1935.0,2.1,C Block Sushant Lok Phase 1,single
9287,S,Independent/Builder Floor,10.0,10,4.0,7681.0,Furnished,0-1,5.0,5.0,2877.0,2.21,C Block Sushant Lok Phase 1,single
9288,S,Independent House/Villa,4.0,4,4.0,8461.0,Unfurnished,1-5,4.0,4.0,3250.0,2.75,Sector 86,multi
9289,S,Residential Apartment,3.0,3,3.0,6581.0,Semi-furnished,1-5,18.0,20.0,1960.0,1.29,Sector 82,single
9290,S,Residential Apartment,3.0,3,3.0,6887.0,Unfurnished,1-5,5.0,20.0,1960.0,1.35,Sector 82,single
9291,S,Residential Apartment,3.0,3,4.0,6686.0,Semi-furnished,1-5,17.0,20.0,1690.0,1.13,Sector 82,single
9292,S,Independent/Builder Floor,4.0,4,3.0,10802.469135802468,Semi-furnished,1-5,4.0,4.0,3240.0,3.5,Suncity,single
9293,S,Independent/Builder Floor,4.0,4,3.0,14000.0,Semi-furnished,0-1,2.0,4.0,2250.0,3.15,Suncity,single
9294,S,Independent/Builder Floor,4.0,4,2.0,11574.074074074075,Semi-furnished,0-1,1.0,4.0,3240.0,3.75,Suncity,single
9295,S,Independent/Builder Floor,5.0,5,3.0,12726.870296591413,Semi-furnished,0-1,1.0,4.0,4518.0,5.75,DLF Phase 1,single
9296,S,Independent/Builder Floor,3.0,3,2.0,10055.304172951232,Semi-furnished,0-1,3.0,4.0,1989.0,2.0,Sector 27,single
9297,S,Independent/Builder Floor,3.0,3,2.0,10858.585858585859,Semi-furnished,0-1,1.0,4.0,1980.0,2.15,Sector 42,single
9298,S,Independent/Builder Floor,3.0,3,2.0,11934.156378600823,Semi-furnished,0-1,2.0,4.0,2430.0,2.9,DLF Phase 4,single
9299,S,Independent/Builder Floor,4.0,4,2.0,11522.633744855968,Semi-furnished,0-1,1.0,4.0,2430.0,2.8,DLF Phase 4,single
9300,S,Independent/Builder Floor,3.0,4,2.0,11111.111111111111,Semi-furnished,0-1,2.0,4.0,2700.0,3.0,C Block Sushant Lok Phase 1,single
9301,S,Independent/Builder Floor,3.0,3,2.0,9259.25925925926,Semi-furnished,5-10,0.0,3.0,2700.0,2.5,B Block Sushant Lok Phase 1,single
9302,S,Residential Apartment,3.0,5,3.0,17206.0,Semi-furnished,5-10,8.0,18.0,2470.0,4.25,Sector 47,single
9303,S,Residential Apartment,4.0,3,4.0,12066.0,Furnished,10+,6.0,9.0,2652.0,3.2,Sushant Lok,single
9304,S,Residential Apartment,3.0,4,4.0,11428.0,Semi-furnished,1-5,12.0,30.0,2100.0,2.4,Sector 81,single
9305,S,Residential Apartment,3.0,3,4.0,6293.0,Semi-furnished,1-5,18.0,22.0,1430.0,0.9,Sector 82,single
9306,S,Residential Apartment,3.0,3,3.0,9769.0,Unfurnished,Under Construction,12.0,25.0,2129.0,2.18,Sector 85,single
9307,S,Residential Apartment,2.0,2,3.0,8611.0,Unfurnished,Under Construction,18.0,20.0,1440.0,1.3,Sector 85,single
9308,S,Residential Apartment,3.0,3,3.0,9732.0,Unfurnished,Under Construction,20.0,32.0,1829.0,1.74,Sector 85,single
9309,S,Residential Apartment,3.0,3,3.0,20600.0,Semi-furnished,0-1,20.0,32.0,2588.0,4.12,Sector 62,single
9310,S,Independent/Builder Floor,4.0,3,3.0,13428.0,Unfurnished,1-5,0.0,2.0,1750.0,2.35,Sector 65,single
9311,S,Independent/Builder Floor,3.0,3,1.0,19565.0,Semi-furnished,1-5,0.0,2.0,1380.0,2.7,Sector 65,single
9312,S,Independent/Builder Floor,4.0,4,3.0,9202.0,Unfurnished,Under Construction,2.0,4.0,1956.0,1.8,Sector 91,single
9313,S,Independent/Builder Floor,4.0,4,3.0,9001.0,Unfurnished,Under Construction,4.0,4.0,2555.0,2.3,Sector 91,single
9314,S,Independent/Builder Floor,4.0,4,2.0,15000.0,Semi-furnished,0-1,4.0,4.0,2000.0,3.0,Sector 52,single
9315,S,Residential Apartment,3.0,3,4.0,7407.0,Unfurnished,1-5,15.0,29.0,1755.0,1.3,Sector 90,single
9316,S,Independent/Builder Floor,6.0,6,4.0,10925.0,Furnished,0-1,1.0,1.0,2700.0,2.95,Sector 45,single
9317,S,Residential Apartment,4.0,4,4.0,14560.0,Semi-furnished,0-1,6.0,11.0,2600.0,2.65,Sector-33 Sohna,single
